frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h,bev_x,bev_y
2,primary,44,1,43,43,0.026019,0.028306,0.000000,0.015840,2427.62,331.59,64.14,41.07,1813.967302,1292.181109
2,primary,45,1,39,39,0.027567,0.048088,0.000000,0.018592,1061.25,781.00,50.12,40.75,1448.311192,670.824550
2,primary,46,0,17,17,0.036636,0.226780,0.000000,0.040996,2577.63,405.85,81.87,54.48,1697.991995,1333.992184
2,primary,47,1,56,56,0.041571,0.001661,0.000000,0.020951,1660.94,1189.03,31.29,51.47,1225.757055,941.060136
2,primary,48,1,46,46,0.026717,0.000038,0.000000,0.013362,3074.67,797.47,67.25,39.81,1397.899207,1390.275253
2,primary,49,1,55,55,0.015378,0.033494,0.000000,0.011038,500.20,887.46,67.92,43.39,1384.724431,455.897128
2,primary,50,1,52,52,0.050005,0.001890,0.000000,0.025192,2841.47,215.76,100.04,47.03,1922.484218,1539.646805
2,primary,51,1,53,53,0.030747,0.005945,0.000000,0.015968,2116.90,390.08,42.26,49.69,1757.346065,1124.242373
2,primary,52,0,1,1,0.113925,1.000000,0.000000,inf,895.25,1402.16,86.32,69.64,1143.745690,749.124519
2,primary,53,1,49,49,0.011988,0.002858,0.000000,0.006280,1671.42,182.76,61.96,39.39,2193.421068,859.731315
2,primary,54,1,47,47,0.045768,0.055673,0.000000,0.028451,2420.21,128.97,57.14,35.99,2168.255767,1369.281777
2,primary,55,0,1,1,0.106764,1.000000,0.000000,inf,2192.95,1283.03,32.82,48.63,1196.134191,1084.393020
2,primary,56,0,7,7,0.084747,0.486784,0.000000,0.091052,2996.77,693.85,50.62,38.98,1459.879398,1393.509157
2,primary,57,0,1,1,0.108513,1.000000,0.000000,inf,1178.88,1423.88,88.10,72.47,1139.143995,831.417742
3,primary,0,1,5,5,0.019928,0.000507,0.000000,0.010015,1302.41,762.75,344.20,134.58,1389.856671,848.289291
3,primary,1,1,9,9,0.024672,0.000718,0.000000,0.012408,1930.10,825.36,135.64,75.13,1379.873208,1038.141260
3,primary,2,1,11,11,0.028781,0.000063,0.000000,0.014397,1234.88,880.16,132.81,63.91,1364.766188,788.112760
3,primary,3,1,1,1,0.017039,0.000001,0.000000,0.008519,2829.65,803.22,157.96,83.39,1374.921678,1322.583763
3,primary,4,1,2,2,0.021342,0.000006,0.000000,0.010672,2849.27,675.89,80.39,84.34,1445.959118,1345.801323
3,primary,5,1,4,4,0.021192,0.000156,0.000000,0.010611,2163.37,747.20,110.26,81.54,1418.080984,1117.159847
3,primary,6,1,3,3,0.039410,0.000028,0.000000,0.019708,2773.22,658.63,70.42,91.63,1453.963096,1323.036336
3,primary,7,1,6,6,0.019028,0.012164,0.000000,0.010730,128.24,689.56,70.26,43.03,1559.974560,114.252082
3,primary,8,1,7,7,0.020762,0.000118,0.000000,0.010393,2936.31,698.29,79.26,82.29,1431.955384,1366.778960
3,primary,9,1,27,27,0.023996,0.004381,0.000000,0.012436,1263.00,938.28,124.67,72.78,1327.684011,807.461978
3,primary,10,1,14,14,0.024953,0.000075,0.000000,0.012484,1066.00,927.42,91.55,58.83,1343.126339,722.443252
3,primary,11,1,12,12,0.014679,0.000435,0.000000,0.007383,2536.50,617.85,92.11,62.80,1507.011861,1263.769216
3,primary,12,1,10,10,0.013808,0.000435,0.000000,0.006947,2483.08,589.10,102.43,60.48,1531.774179,1253.069554
3,primary,13,1,20,20,0.049413,0.008061,0.000000,0.025513,2463.05,547.80,97.22,63.46,1563.032952,1252.737823
3,primary,14,1,23,23,0.021318,0.000320,0.000000,0.010691,2673.99,257.45,305.98,138.30,1754.125979,1443.416643
3,primary,15,1,8,8,0.014912,0.002595,0.000000,0.007716,289.65,658.33,73.41,44.50,1582.350975,193.742764
3,primary,16,1,19,19,0.023926,0.000303,0.000000,0.011993,590.94,889.16,76.05,44.97,1380.955842,501.600720
3,primary,17,1,17,17,0.011832,0.001411,0.000000,0.006057,2602.94,417.54,73.19,55.73,1683.125516,1338.404491
3,primary,18,1,16,16,0.019004,0.000157,0.000000,0.009518,2714.09,649.40,45.35,82.19,1467.654210,1304.476983
3,primary,19,1,33,33,0.042580,0.000361,0.000000,0.021326,2115.45,556.01,45.78,71.25,1565.431731,1104.595041
3,primary,20,0,1,1,0.123758,1.000000,0.000000,inf,893.49,1402.83,87.87,68.34,1143.928041,748.751753
3,primary,21,1,18,18,0.014261,0.000916,0.000000,0.007222,80.61,668.42,58.97,33.13,1596.265847,46.286520
3,primary,22,1,32,32,0.037440,0.001439,0.000000,0.018864,902.30,862.64,112.97,51.22,1388.338454,641.353557
