0,1,2825.99,804.03,162.05,82.56,0.89,-1,-1,-1
0,2,2846.95,675.36,83.86,85.68,0.88,-1,-1,-1
0,3,2774.95,658.36,69.05,91.24,0.87,-1,-1,-1
0,4,2142.79,763.07,109.35,80.17,0.86,-1,-1,-1
0,5,1271.05,774.52,342.25,116.09,0.85,-1,-1,-1
0,6,145.40,686.69,69.20,47.91,0.85,-1,-1,-1
0,7,2934.75,698.28,81.03,82.29,0.85,-1,-1,-1
0,8,302.31,656.71,77.02,46.13,0.83,-1,-1,-1
0,9,1900.03,826.57,131.68,77.82,0.83,-1,-1,-1
0,10,2484.93,592.71,95.42,58.36,0.80,-1,-1,-1
0,11,1234.61,878.14,133.56,66.90,0.79,-1,-1,-1
0,12,2537.04,624.58,86.72,58.56,0.76,-1,-1,-1
0,13,2604.50,593.47,123.24,122.80,0.75,-1,-1,-1
0,14,1067.74,940.69,85.89,45.57,0.73,-1,-1,-1
0,15,2478.54,465.59,53.42,64.57,0.72,-1,-1,-1
0,16,2712.65,649.69,48.38,80.20,0.70,-1,-1,-1
0,17,2604.98,419.10,75.82,56.51,0.68,-1,-1,-1
0,18,98.87,666.03,60.60,34.39,0.68,-1,-1,-1
0,19,590.33,889.16,78.29,45.09,0.66,-1,-1,-1
0,20,2465.13,554.12,93.14,65.54,0.66,-1,-1,-1
0,21,1085.17,885.87,56.05,39.14,0.64,-1,-1,-1
0,22,2653.58,450.94,95.83,62.02,0.61,-1,-1,-1
0,23,2676.03,251.84,304.59,147.40,0.61,-1,-1,-1
0,24,459.50,831.64,99.09,52.85,0.60,-1,-1,-1
0,25,11.89,693.06,73.67,41.70,0.57,-1,-1,-1
0,26,2106.42,503.66,56.18,56.56,0.56,-1,-1,-1
0,27,1258.06,944.05,111.83,62.20,0.56,-1,-1,-1
0,28,2477.46,365.28,64.71,51.55,0.56,-1,-1,-1
0,29,2530.07,382.31,59.74,54.68,0.50,-1,-1,-1
0,30,2684.42,466.53,66.92,53.17,0.50,-1,-1,-1
0,31,2610.92,570.16,67.58,52.81,0.48,-1,-1,-1
0,32,900.98,862.88,114.71,52.65,0.41,-1,-1,-1
0,33,2107.91,559.62,56.38,70.37,0.41,-1,-1,-1
0,34,2574.48,395.57,65.21,51.12,0.40,-1,-1,-1
0,35,458.61,885.56,63.98,45.14,0.37,-1,-1,-1
0,36,335.22,878.64,75.58,45.30,0.33,-1,-1,-1
0,37,2107.82,337.74,43.77,54.87,0.33,-1,-1,-1
0,38,1696.16,189.76,76.66,44.47,0.32,-1,-1,-1
0,39,1047.73,783.65,52.72,37.95,0.31,-1,-1,-1
0,40,2103.69,274.07,42.68,61.01,0.30,-1,-1,-1
0,41,2443.49,345.62,59.17,41.38,0.28,-1,-1,-1
0,42,362.20,832.95,62.09,41.03,0.24,-1,-1,-1
0,43,2425.26,333.23,50.17,39.24,0.22,-1,-1,-1
0,44,1775.84,221.29,70.46,44.51,0.21,-1,-1,-1
0,45,2811.87,284.14,168.14,112.28,0.20,-1,-1,-1
0,46,3074.66,798.10,66.41,38.91,0.17,-1,-1,-1
0,47,2404.18,127.83,70.58,36.87,0.15,-1,-1,-1
0,48,2680.76,521.51,63.25,48.62,0.13,-1,-1,-1
0,49,1673.03,182.43,61.48,39.97,0.13,-1,-1,-1
0,50,961.99,919.99,79.76,42.54,0.11,-1,-1,-1
0,51,582.00,850.70,43.41,38.32,0.09,-1,-1,-1
0,52,2843.96,216.72,98.33,45.44,0.09,-1,-1,-1
0,53,2115.10,384.59,43.82,53.02,0.09,-1,-1,-1
0,54,2372.59,122.68,51.18,33.55,0.09,-1,-1,-1
0,55,478.67,889.70,91.22,40.54,0.08,-1,-1,-1
