frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h
2,primary,0,1,5,5,0.023178,0.009308,0.000000,0.017630,1285.10,762.30,344.61,133.80
2,primary,1,1,4,4,0.036166,0.011339,0.000000,0.026235,2151.67,753.01,111.78,82.96
2,primary,2,1,9,9,0.027815,0.016410,0.000000,0.023253,1913.35,828.45,143.01,72.67
2,primary,3,1,11,11,0.027544,0.000155,0.000000,0.016588,1234.43,878.03,133.66,66.11
2,primary,4,1,1,1,0.025716,0.000013,0.000000,0.015435,2827.73,803.24,159.97,83.36
2,primary,5,1,2,2,0.024649,0.000042,0.000000,0.014806,2847.97,675.98,81.94,84.50
2,primary,6,1,3,3,0.046082,0.000003,0.000000,0.027650,2774.91,658.36,68.71,91.34
2,primary,7,1,6,6,0.031203,0.022821,0.000000,0.027850,137.71,689.18,68.55,45.82
2,primary,8,1,7,7,0.024948,0.000079,0.000000,0.015000,2937.25,698.27,77.90,81.80
2,primary,9,1,23,23,0.042378,0.000549,0.000000,0.025646,2672.81,257.69,303.89,139.85
2,primary,10,1,10,10,0.024230,0.000813,0.000000,0.014864,2482.18,587.57,100.66,62.07
2,primary,11,1,14,14,0.025156,0.000125,0.000000,0.015144,1066.00,926.66,90.52,59.92
2,primary,12,1,12,12,0.028766,0.001788,0.000000,0.017975,2537.60,619.54,87.64,61.51
2,primary,13,1,27,27,0.033730,0.013418,0.000000,0.025605,1262.10,939.29,124.66,70.80
2,primary,14,1,20,20,0.036087,0.021352,0.000000,0.030193,2463.88,550.77,96.30,61.22
2,primary,15,1,8,8,0.021289,0.016976,0.000000,0.019564,299.14,658.80,72.55,43.51
2,primary,16,1,16,16,0.024147,0.000396,0.000000,0.014647,2714.51,651.15,45.56,80.34
2,primary,17,1,15,15,0.029134,0.000680,0.000000,0.017752,2479.00,462.75,53.98,66.32
2,primary,18,1,19,19,0.025594,0.000055,0.000000,0.015378,590.86,889.48,77.34,45.05
2,primary,19,1,17,17,0.015072,0.003925,0.000000,0.010613,2603.16,417.16,74.46,56.29
2,primary,20,1,24,24,0.036187,0.000222,0.000000,0.021801,459.39,833.62,99.90,51.35
2,primary,21,1,32,32,0.024436,0.001785,0.000000,0.015376,902.00,861.23,112.87,52.13
2,primary,22,1,13,13,0.033269,0.000099,0.000000,0.020001,2603.72,591.24,119.81,124.57
2,primary,23,1,18,18,0.028142,0.087420,0.000000,0.051853,86.23,667.13,63.70,34.13
2,primary,24,1,28,28,0.025213,0.006432,0.000000,0.017701,2478.21,366.37,62.22,48.18
2,primary,25,1,22,22,0.024651,0.021632,0.000000,0.023443,2652.47,449.59,93.40,57.11
2,primary,26,1,35,35,0.024265,0.000531,0.000000,0.014771,457.25,877.00,66.17,52.95
2,primary,27,1,29,29,0.038121,0.007205,0.000000,0.025755,2529.02,377.25,71.69,57.95
2,primary,28,1,21,21,0.045058,0.021316,0.000000,0.035561,1084.01,867.75,78.16,56.26
2,primary,29,1,50,50,0.031979,0.001312,0.000000,0.019712,954.62,915.11,89.28,48.75
2,primary,30,1,48,48,0.026307,0.000280,0.000000,0.015896,2682.38,517.56,61.89,53.13
2,primary,31,1,25,25,0.035298,0.053928,0.000000,0.042750,1.46,691.60,72.41,44.16
2,primary,32,1,30,30,0.019337,0.000067,0.000000,0.011629,2684.40,464.84,67.54,55.16
2,primary,33,1,34,34,0.017942,0.002050,0.000000,0.011585,2569.95,395.68,67.14,50.45
2,primary,34,1,31,31,0.017221,0.002095,0.000000,0.011171,2610.43,569.24,71.59,55.74
2,primary,35,1,33,33,0.029435,0.001674,0.000000,0.018330,2114.54,556.71,46.10,71.11
2,primary,36,1,26,26,0.049611,0.040079,0.000000,0.045798,2108.39,438.47,52.61,113.93
2,primary,37,1,36,36,0.028876,0.001660,0.000000,0.017989,334.64,878.81,77.01,46.51
2,primary,38,1,44,44,0.022304,0.002045,0.000000,0.014200,1774.59,222.12,71.31,43.15
2,primary,39,1,41,41,0.013353,0.000934,0.000000,0.008386,2443.66,345.82,60.20,40.58
2,primary,40,1,42,42,0.023943,0.000877,0.000000,0.014716,368.37,830.68,52.87,42.16
2,primary,41,1,40,40,0.034083,0.000501,0.000000,0.020650,2104.15,275.36,38.94,59.47
2,primary,42,1,38,38,0.015988,0.000401,0.000000,0.009753,1695.33,189.99,78.19,44.50
2,primary,43,1,37,37,0.046345,0.001632,0.000000,0.028460,2109.47,338.83,40.94,52.68
2,primary,44,1,43,43,0.026019,0.028306,0.000000,0.026934,2427.62,331.59,64.14,41.07
2,primary,45,1,39,39,0.027567,0.048088,0.000000,0.035776,1061.25,781.00,50.12,40.75
2,primary,46,0,34,34,0.043848,0.199503,0.000000,0.106110,2577.63,405.85,81.87,54.48
2,primary,47,1,56,56,0.041571,0.001661,0.000000,0.025607,1660.94,1189.03,31.29,51.47
2,primary,48,1,46,46,0.026717,0.000038,0.000000,0.016045,3074.67,797.47,67.25,39.81
2,primary,49,1,55,55,0.015378,0.033494,0.000000,0.022625,500.20,887.46,67.92,43.39
2,primary,50,1,52,52,0.050005,0.001890,0.000000,0.030759,2841.47,215.76,100.04,47.03
2,primary,51,1,53,53,0.030747,0.005945,0.000000,0.020826,2116.90,390.08,42.26,49.69
2,primary,52,0,1,1,0.113925,1.000000,0.000000,inf,895.25,1402.16,86.32,69.64
2,primary,53,1,49,49,0.011988,0.002858,0.000000,0.008336,1671.42,182.76,61.96,39.39
2,primary,54,1,47,47,0.045768,0.055673,0.000000,0.049730,2420.21,128.97,57.14,35.99
2,primary,55,0,1,1,0.106764,1.000000,0.000000,inf,2192.95,1283.03,32.82,48.63
2,primary,56,0,7,7,0.084747,0.486784,0.000000,0.245561,2996.77,693.85,50.62,38.98
2,primary,57,0,1,1,0.108513,1.000000,0.000000,inf,1178.88,1423.88,88.10,72.47
3,primary,0,1,5,5,0.019928,0.000507,0.000000,0.012159,1302.41,762.75,344.20,134.58
3,primary,1,1,9,9,0.024672,0.000718,0.000000,0.015090,1930.10,825.36,135.64,75.13
3,primary,2,1,11,11,0.028781,0.000063,0.000000,0.017294,1234.88,880.16,132.81,63.91
3,primary,3,1,1,1,0.017039,0.000001,0.000000,0.010224,2829.65,803.22,157.96,83.39
3,primary,4,1,2,2,0.021342,0.000006,0.000000,0.012807,2849.27,675.89,80.39,84.34
3,primary,5,1,4,4,0.021192,0.000156,0.000000,0.012777,2163.37,747.20,110.26,81.54
3,primary,6,1,3,3,0.039410,0.000028,0.000000,0.023657,2773.22,658.63,70.42,91.63
3,primary,7,1,6,6,0.019028,0.012164,0.000000,0.016282,128.24,689.56,70.26,43.03
3,primary,8,1,7,7,0.020762,0.000118,0.000000,0.012504,2936.31,698.29,79.26,82.29
3,primary,9,1,27,27,0.023996,0.004381,0.000000,0.016150,1263.00,938.28,124.67,72.78
3,primary,10,1,14,14,0.024953,0.000075,0.000000,0.015001,1066.00,927.42,91.55,58.83
3,primary,11,1,12,12,0.014679,0.000435,0.000000,0.008981,2536.50,617.85,92.11,62.80
3,primary,12,1,10,10,0.013808,0.000435,0.000000,0.008459,2483.08,589.10,102.43,60.48
3,primary,13,1,20,20,0.049413,0.008061,0.000000,0.032872,2463.05,547.80,97.22,63.46
3,primary,14,1,23,23,0.021318,0.000320,0.000000,0.012919,2673.99,257.45,305.98,138.30
3,primary,15,1,8,8,0.014912,0.002595,0.000000,0.009986,289.65,658.33,73.41,44.50
3,primary,16,1,19,19,0.023926,0.000303,0.000000,0.014477,590.94,889.16,76.05,44.97
3,primary,17,1,17,17,0.011832,0.001411,0.000000,0.007664,2602.94,417.54,73.19,55.73
3,primary,18,1,16,16,0.019004,0.000157,0.000000,0.011465,2714.09,649.40,45.35,82.19
3,primary,19,1,33,33,0.042580,0.000361,0.000000,0.025692,2115.45,556.01,45.78,71.25
3,primary,20,0,1,1,0.123758,1.000000,0.000000,inf,893.49,1402.83,87.87,68.34
3,primary,21,1,18,18,0.014261,0.000916,0.000000,0.008923,80.61,668.42,58.97,33.13
3,primary,22,1,32,32,0.037440,0.001439,0.000000,0.023040,902.30,862.64,112.97,51.22
3,primary,23,1,29,29,0.035049,0.002608,0.000000,0.022072,2527.93,376.45,82.90,59.28
3,primary,24,1,25,25,0.015840,0.051121,0.000000,0.029952,0.44,691.56,68.08,47.99
3,primary,25,1,48,48,0.024722,0.000203,0.000000,0.014914,2681.41,517.22,62.66,53.46
3,primary,26,1,15,15,0.057805,0.000321,0.000000,0.034811,2478.53,461.02,54.14,67.99
3,primary,27,1,24,24,0.024464,0.000090,0.000000,0.014715,457.31,834.10,102.40,51.80
3,primary,28,1,28,28,0.019359,0.008233,0.000000,0.014909,2477.20,365.03,71.53,50.59
3,primary,29,1,22,22,0.010460,0.028238,0.000000,0.017571,2654.47,451.87,91.92,58.53
3,primary,30,1,13,13,0.016865,0.000116,0.000000,0.010165,2605.24,592.27,117.56,124.55
3,primary,31,1,21,21,0.045589,0.002319,0.000000,0.028281,1084.09,863.98,86.35,60.24
3,primary,32,1,35,35,0.014911,0.000729,0.000000,0.009238,455.62,880.72,64.47,50.23
3,primary,33,1,26,26,0.035857,0.005453,0.000000,0.023695,2110.55,440.03,50.67,109.71
3,primary,34,1,34,34,0.017259,0.001520,0.000000,0.010964,2568.06,392.26,72.87,53.80
3,primary,35,1,30,30,0.011747,0.000024,0.000000,0.007058,2684.02,464.86,67.58,55.32
3,primary,36,1,44,44,0.012471,0.000411,0.000000,0.007647,1774.37,221.36,71.74,43.69
3,primary,37,1,41,41,0.023988,0.012082,0.000000,0.019226,2445.36,349.06,57.74,39.89
3,primary,38,1,56,56,0.035623,0.000310,0.000000,0.021498,1655.33,1186.96,35.00,52.34
3,primary,39,0,1,1,0.107334,1.000000,0.000000,inf,2196.70,1283.39,36.08,48.46
3,primary,40,1,40,40,0.038370,0.000670,0.000000,0.023290,2104.96,277.84,39.45,57.00
3,primary,41,1,42,42,0.018325,0.001223,0.000000,0.011484,364.41,829.46,58.25,44.09
3,primary,42,1,50,50,0.037654,0.000906,0.000000,0.022955,954.85,915.74,89.90,47.81
3,primary,43,1,36,36,0.012363,0.001479,0.000000,0.008009,335.48,878.43,77.98,45.98
3,primary,44,1,39,39,0.021704,0.000058,0.000000,0.013046,1071.44,782.81,52.42,39.21
3,primary,45,1,55,55,0.014364,0.001259,0.000000,0.009122,512.27,889.17,56.10,42.20
3,primary,46,1,38,38,0.017342,0.021470,0.000000,0.018993,1692.73,188.45,71.07,45.36
