frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h
3,primary,31,1,21,21,0.045589,0.002319,0.000000,0.023026,1084.09,863.98,86.35,60.24
3,primary,32,1,35,35,0.014911,0.000729,0.000000,0.007529,455.62,880.72,64.47,50.23
3,primary,33,1,26,26,0.035857,0.005453,0.000000,0.018474,2110.55,440.03,50.67,109.71
3,primary,34,1,34,34,0.017259,0.001520,0.000000,0.008782,2568.06,392.26,72.87,53.80
3,primary,35,1,30,30,0.011747,0.000024,0.000000,0.005876,2684.02,464.86,67.58,55.32
3,primary,36,1,44,44,0.012471,0.000411,0.000000,0.006277,1774.37,221.36,71.74,43.69
3,primary,37,1,41,41,0.023988,0.012082,0.000000,0.013202,2445.36,349.06,57.74,39.89
3,primary,38,1,56,56,0.035623,0.000310,0.000000,0.017843,1655.33,1186.96,35.00,52.34
3,primary,39,0,1,1,0.107334,1.000000,0.000000,inf,2196.70,1283.39,36.08,48.46
3,primary,40,1,40,40,0.038370,0.000670,0.000000,0.019252,2104.96,277.84,39.45,57.00
3,primary,41,1,42,42,0.018325,0.001223,0.000000,0.009285,364.41,829.46,58.25,44.09
3,primary,42,1,50,50,0.037654,0.000906,0.000000,0.018917,954.85,915.74,89.90,47.81
3,primary,43,1,36,36,0.012363,0.001479,0.000000,0.006329,335.48,878.43,77.98,45.98
3,primary,44,1,39,39,0.021704,0.000058,0.000000,0.010858,1071.44,782.81,52.42,39.21
3,primary,45,1,55,55,0.014364,0.001259,0.000000,0.007308,512.27,889.17,56.10,42.20
3,primary,46,1,38,38,0.017342,0.021470,0.000000,0.010818,1692.73,188.45,71.07,45.36
3,primary,47,1,37,37,0.023298,0.003319,0.000000,0.011981,2110.01,340.18,39.80,48.36
3,primary,48,1,31,31,0.013298,0.001185,0.000000,0.006768,2611.85,568.27,70.79,60.45
3,primary,49,0,1,1,0.114253,1.000000,0.000000,inf,1179.26,1427.13,86.90,69.03
3,primary,50,1,43,43,0.012962,0.034360,0.000000,0.009917,2425.91,329.53,57.44,42.40
3,primary,51,1,46,46,0.017363,0.000039,0.000000,0.008685,3074.10,797.42,68.04,39.74
3,primary,52,0,1,1,0.142897,1.000000,0.000000,inf,826.93,1511.09,100.25,68.79
3,primary,53,0,7,7,0.091323,0.261695,0.000000,0.071831,2995.63,693.45,50.85,40.10
